Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,42,42,914.2826609246451,851.6771706321023,14.826666652366322,835912.7840674497,29.09090909090909,3724.980677265632,3405.665023803711,38.421660119394986,13875481.046002328,45.83333333333333
2,42,1042,833.3672231744242,755.0582919034091,13.397713725987995,694500.9286614505,43.63636363636363,787234723.031898,296927605.731425,3536887.3102619885,6.197385091471092e+17,91.66666666666666
3,42,2042,732.5548609349687,651.6895330255682,11.600560178313069,536636.6242794513,52.72727272727272,129225.66921488327,85017.50678507487,962.2063810338082,16699273584.03443,83.33333333333334
4,42,3042,832.805841486465,773.6135209517046,13.455314811825117,693565.5696139791,30.909090909090907,6390.6504675217175,6102.422838846843,68.39445414202733,40840413.39803555,16.666666666666664
5,42,4042,385.79091261623864,301.1793767755682,5.213752309813891,148834.6282572703,90.9090909090909,4643.015087818733,4386.880345662435,48.97343021735642,21557589.105712395,25.0
6,42,5042,717.3511647581491,651.1361328125,11.323966839820423,514592.6935798732,45.45454545454545,6230.034628313452,5925.792714436849,66.3305772088094,38813331.46998474,16.666666666666664
7,42,6042,939.5478696801548,890.4960138494318,15.50757225878326,882750.1994205172,14.545454545454545,6802.45151434973,6511.215307871501,73.0328808508269,46273346.605078936,14.583333333333334
8,42,7042,941.2693481289991,895.6744850852273,15.601892637427623,885987.985727191,12.727272727272727,7532.7719150718685,7254.908937454224,81.4526162514249,56742652.72449551,8.333333333333332
9,42,8042,456.74783282400045,384.26645951704546,6.782024823808881,208618.58278942108,96.36363636363636,2749.9878620198697,2143.9083353678384,23.86458198418934,7562433.241256614,81.25
10,42,9042,419.5378280080399,340.02261186079545,5.871036848138357,176011.9891297037,80.0,4905.647764858919,4645.816426595052,51.90508961619403,24065379.992865305,20.833333333333336
