Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,42,42,302.6837803527145,237.92465376420455,4.279120817565419,91617.47088861032,96.36363636363636,2918.1885021987973,2798.2027791341147,31.21613507958064,8515824.13436526,10.416666666666668
2,42,1042,298.70901663593577,234.06544744318182,4.2386606360317645,89227.07661960775,94.54545454545455,2930.9293119288145,2815.2004903157554,31.426136426698513,8590346.631523514,10.416666666666668
3,42,2042,313.4662521333103,249.2767311789773,4.453800868294517,98261.09122650407,96.36363636363636,3020.0464086018965,2906.5016581217446,32.47040042853702,9120680.310109213,6.25
4,42,3042,301.2754089335931,228.96822620738635,4.069888408640797,90766.87202810374,96.36363636363636,2944.1607397113276,2819.7431131998696,31.44240085454974,8668082.461257553,12.5
5,42,4042,317.0391377651574,244.44263139204546,4.283505729479909,100513.81487487446,96.36363636363636,3160.369678784235,3026.751719156901,33.75903238469047,9987936.506578768,12.5
6,42,5042,285.49874875091007,223.5904296875,4.016297848248889,81509.53553833529,96.36363636363636,2803.6956625104913,2681.2256062825522,29.881846293945006,7860709.367980142,12.5
7,42,6042,286.5191861550675,221.7327325994318,3.917344567264925,82093.24403496222,96.36363636363636,2946.463206003175,2828.990407307943,31.575414549894347,8681645.424330508,10.416666666666668
8,42,7042,338.63308981595657,263.14926313920455,4.871341584396351,114672.3695183017,92.72727272727272,2967.65133465855,2851.408233642578,31.83445445406466,8806954.444100672,10.416666666666668
9,42,8042,294.90002023272365,231.8315518465909,4.239340100774576,86966.02193326082,94.54545454545455,2823.2487686107643,2703.567698160807,30.145521634543158,7970733.609462197,12.5
10,42,9042,274.0418165659255,224.48583984375,4.052998529301942,75098.91722675237,94.54545454545455,2787.1380914878587,2663.2311096191406,29.671514805966577,7768138.741022582,12.5
