Horizon,Horizon_Months,Model,SARIMA_Test_RMSE,Model_Test_RMSE,RMSE_Difference
2020,12,LSTM,1794.118,2062.645,+268.526
2020,12,Seq2Seq,1794.118,1730.138,-63.981
2020,12,Seq2Seq+Attention,1794.118,1783.440,-10.678
2020,12,TCN,1794.118,3217.730,+1423.611
2020,12,Transformer,1794.118,2060.407,+266.289
2020-2021,24,LSTM,2395.108,2450.388,+55.280
2020-2021,24,Seq2Seq,2395.108,2354.622,-40.486
2020-2021,24,Seq2Seq+Attention,2395.108,2424.461,+29.352
2020-2021,24,TCN,2395.108,4754.088,+2358.980
2020-2021,24,Transformer,2395.108,2712.660,+317.552
2020-2022,36,LSTM,2571.997,2436.212,-135.785
2020-2022,36,Seq2Seq,2571.997,2554.652,-17.345
2020-2022,36,Seq2Seq+Attention,2571.997,2629.800,+57.803
2020-2022,36,TCN,2571.997,5592.536,+3020.539
2020-2022,36,Transformer,2571.997,2922.222,+350.225
2020-2023,48,LSTM,2607.195,2302.983,-304.212
2020-2023,48,Seq2Seq,2607.195,2598.191,-9.004
2020-2023,48,Seq2Seq+Attention,2607.195,2674.218,+67.023
2020-2023,48,TCN,2607.195,6079.998,+3472.804
2020-2023,48,Transformer,2607.195,2967.868,+360.673
