Model,Horizon,Horizon_Months,Test_RMSE_Mean,Test_RMSE_Std,Test_MAE_Mean,Test_MAE_Std,Test_MAPE_Mean,Test_MAPE_Std,Trials_Completed
LSTM,2020,12,1630.234,918.566,1418.690,944.606,17.22%,12.10%,50
LSTM,2020-2021,24,2003.778,962.105,1835.965,979.733,20.86%,11.64%,50
LSTM,2020-2022,36,1986.120,1006.899,1864.257,1019.354,20.85%,11.74%,50
LSTM,2020-2023,48,1880.232,1035.351,1733.581,1052.440,19.28%,12.04%,50
Seq2Seq,2020,12,1750.591,152.648,1549.798,161.947,18.83%,2.05%,50
Seq2Seq,2020-2021,24,2383.635,234.393,2193.923,230.786,24.88%,2.67%,50
Seq2Seq,2020-2022,36,2588.419,280.156,2442.330,273.730,27.22%,3.09%,50
Seq2Seq,2020-2023,48,2634.860,304.689,2502.360,302.106,27.82%,3.41%,50
Seq2Seq+Attention,2020,12,1745.870,165.575,1547.056,178.747,18.80%,2.26%,50
Seq2Seq+Attention,2020-2021,24,2369.748,262.979,2182.065,260.094,24.75%,3.01%,50
Seq2Seq+Attention,2020-2022,36,2568.735,320.725,2424.325,314.369,27.03%,3.54%,50
Seq2Seq+Attention,2020-2023,48,2612.143,351.989,2480.086,351.809,27.58%,3.96%,50
TCN,2020,12,2788.077,892.648,2579.391,899.775,31.91%,11.32%,50
TCN,2020-2021,24,4137.991,1285.321,3831.577,1255.739,43.81%,14.50%,50
TCN,2020-2022,36,4995.725,1549.625,4649.308,1450.250,51.98%,16.31%,50
TCN,2020-2023,48,5680.219,2173.498,5271.017,1784.596,59.01%,20.11%,50
Transformer,2020,12,2034.652,118.066,1862.495,126.450,22.82%,1.61%,50
Transformer,2020-2021,24,2687.166,134.144,2517.081,138.809,28.72%,1.64%,50
Transformer,2020-2022,36,2897.477,141.484,2765.901,144.380,30.96%,1.66%,50
Transformer,2020-2023,48,2943.778,144.402,2825.043,147.441,31.53%,1.68%,50
SARIMA,2020,12,1794.118,0.000,1637.595,0.000,20.08%,0.00%,50
SARIMA,2020-2021,24,2395.108,0.000,2238.831,0.000,25.55%,0.00%,50
SARIMA,2020-2022,36,2571.997,0.000,2454.813,0.000,27.50%,0.00%,50
SARIMA,2020-2023,48,2607.195,0.000,2497.630,0.000,27.88%,0.00%,50
