Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,LSTM_Mean,LSTM_CI_Lower,LSTM_CI_Upper,LSTM_PI_Lower,LSTM_PI_Upper,Dataset,Horizon,Horizon_Months
2015-06-01,4369.0,4019.0132157287394,4019.0132157287394,4019.0132157287394,1721.61352184814,6316.412909609338,4182.5195,3131.269,5233.77,2325.8335,6039.2056,Train,2020-2021,24
2015-07-01,4672.0,3910.9735683921876,3910.9735683921876,3910.9735683921876,1613.5738745115882,6208.3732622727875,4161.106,3115.2268,5206.9854,2304.42,6017.792,Train,2020-2021,24
2015-08-01,4661.0,4040.017556773143,4040.0175567731426,4040.0175567731435,1742.6178628925436,6337.4172506537425,4250.5166,3182.0703,5318.963,2393.8306,6107.2026,Train,2020-2021,24
2015-09-01,4655.0,4081.333303032528,4081.333303032528,4081.333303032528,1783.9336091519285,6378.732996913128,4161.8525,3115.7825,5207.923,2305.1665,6018.5386,Train,2020-2021,24
2015-10-01,4716.0,4093.180929257304,4093.180929257304,4093.180929257304,1795.7812353767044,6390.580623137903,4201.1694,3145.2205,5257.118,2344.4834,6057.8555,Train,2020-2021,24
2015-11-01,4377.0,4131.5119828039105,4131.51198280391,4131.511982803911,1834.112288923311,6428.91167668451,4189.4688,3136.482,5242.4556,2332.7827,6046.155,Train,2020-2021,24
2015-12-01,4484.0,3956.790228189663,3956.7902281896627,3956.7902281896636,1659.3905343090637,6254.189922070263,4275.7197,3200.991,5350.448,2419.0337,6132.406,Train,2020-2021,24
2016-01-01,4911.0,6612.7574174504825,6612.757417450482,6612.757417450483,4315.357723569883,8910.157111331082,4250.0024,3181.7144,5318.2905,2393.3164,6106.6885,Train,2020-2021,24
2016-02-01,5218.0,3880.7961164377994,3880.7961164377994,3880.7961164377994,1583.3964225572,6178.195810318399,4238.9844,3173.4783,5304.49,2382.2983,6095.6704,Train,2020-2021,24
2016-03-01,5759.0,5139.369832225705,5139.369832225704,5139.369832225706,2841.9701383451056,7436.7695261063045,4251.645,3182.916,5320.374,2394.959,6108.331,Train,2020-2021,24
2016-04-01,5456.0,5071.53304853537,5071.53304853537,5071.53304853537,2774.1333546547703,7368.932742415969,4304.8213,3222.2986,5387.3438,2448.1353,6161.5073,Train,2020-2021,24
2016-05-01,5359.0,5290.317526422476,5290.317526422475,5290.3175264224765,2992.917832541876,7587.717220303075,4546.98,3403.611,5690.3486,2690.294,6403.666,Train,2020-2021,24
2016-06-01,5305.0,4829.847633633448,4829.847633633447,4829.847633633449,2532.4479397528485,7127.247327514047,4814.5186,3604.368,6024.669,2957.8325,6671.2046,Train,2020-2021,24
2016-07-01,5769.0,5240.757703684619,5240.757703684618,5240.75770368462,2943.3580098040193,7538.157397565218,4992.911,3737.94,6247.8823,3136.225,6849.597,Train,2020-2021,24
2016-08-01,5565.0,5426.495084129827,5426.495084129827,5426.495084129827,3129.0953902492274,7723.894778010426,5095.088,3814.328,6375.8477,3238.4019,6951.774,Train,2020-2021,24
2016-09-01,5367.0,5270.274065695113,5270.274065695113,5270.274065695113,2972.8743718145133,7567.673759575712,5002.9736,3745.46,6260.4873,3146.2876,6859.6597,Train,2020-2021,24
2016-10-01,5633.0,5196.105967111224,5196.105967111223,5196.105967111225,2898.706273230625,7493.505660991824,5000.8374,3743.904,6257.7705,3144.1514,6857.5234,Train,2020-2021,24
2016-11-01,5664.0,5198.161781893118,5198.161781893117,5198.161781893119,2900.7620880125187,7495.561475773718,5060.313,3788.418,6332.208,3203.627,6916.999,Train,2020-2021,24
2016-12-01,6082.0,5781.873534568688,5781.873534568688,5781.873534568688,3484.473840688089,8079.273228449288,5157.8115,3861.3047,6454.3184,3301.1255,7014.4976,Train,2020-2021,24
2017-01-01,6505.0,8520.321143197367,8520.321143197365,8520.321143197369,6222.921449316767,10817.720837077966,5108.759,3824.6802,6392.8374,3252.0728,6965.445,Train,2020-2021,24
2017-02-01,5813.0,6273.022702647091,6273.02270264709,6273.022702647092,3975.6230087664917,8570.42239652769,5187.2334,3883.0708,6491.396,3330.5474,7043.9194,Train,2020-2021,24
2017-03-01,6379.0,6236.731057174812,6236.731057174811,6236.731057174813,3939.3313632942127,8534.13075105541,5371.9023,4021.4846,6722.3203,3515.2163,7228.5884,Train,2020-2021,24
2017-04-01,6091.0,5940.5636148412095,5940.5636148412095,5940.5636148412095,3643.16392096061,8237.96330872181,5506.3467,4122.34,6890.3535,3649.6606,7363.0327,Train,2020-2021,24
2017-05-01,6219.0,6083.567611571126,6083.567611571126,6083.567611571126,3786.1679176905263,8380.967305451726,5683.1245,4254.5938,7111.6553,3826.4385,7539.8105,Train,2020-2021,24
2017-06-01,6052.0,5914.453426235051,5914.45342623505,5914.453426235052,3617.0537323544513,8211.853120115651,5716.025,4279.214,7152.836,3859.3389,7572.711,Train,2020-2021,24
2017-07-01,6105.0,6302.191910972758,6302.191910972757,6302.191910972759,4004.7922170921584,8599.591604853358,5588.7236,4184.01,6993.4375,3732.0376,7445.4097,Train,2020-2021,24
2017-08-01,6030.0,5950.693722263453,5950.693722263452,5950.693722263454,3653.294028382854,8248.093416144053,5708.5986,4273.6416,7143.5557,3851.9126,7565.2847,Train,2020-2021,24
2017-09-01,5969.0,5881.1846395819475,5881.184639581947,5881.184639581948,3583.784945701348,8178.584333462547,5619.514,4207.011,7032.017,3762.8281,7476.2,Train,2020-2021,24
2017-10-01,5707.0,6013.681116690955,6013.681116690955,6013.681116690955,3716.2814228103553,8311.080810571555,5616.7627,4204.912,7028.6133,3760.0767,7473.4487,Train,2020-2021,24
2017-11-01,5681.0,5433.748151074083,5433.748151074082,5433.748151074084,3136.3484571934832,7731.147844954682,5542.5605,4149.3574,6935.7637,3685.8745,7399.2466,Train,2020-2021,24
2017-12-01,6052.0,5820.203047451623,5820.203047451622,5820.203047451624,3522.8033535710238,8117.602741332223,5501.034,4118.1895,6883.879,3644.3481,7357.72,Train,2020-2021,24
2018-01-01,5904.0,6398.0480468425985,6398.048046842598,6398.048046842599,4100.648352961999,8695.447740723197,5431.4663,4066.165,6796.7676,3574.7803,7288.1523,Train,2020-2021,24
2018-02-01,5426.0,5855.0486760416325,5855.048676041632,5855.048676041633,3557.648982161033,8152.448369922232,5371.4727,4021.3052,6721.64,3514.7866,7228.1587,Train,2020-2021,24
2018-03-01,6005.0,5973.662632755202,5973.662632755201,5973.662632755203,3676.2629388746027,8271.062326635802,5301.336,3968.8467,6633.825,3444.65,7158.022,Train,2020-2021,24
2018-04-01,5766.0,5703.2023291706,5703.2023291706,5703.2023291706,3405.8026352900006,8000.6020230511995,5341.4814,3998.8865,6684.076,3484.7954,7198.1675,Train,2020-2021,24
2018-05-01,5946.0,5732.907528469006,5732.907528469005,5732.907528469007,3435.5078345884067,8030.307222349606,5394.8403,4038.6763,6751.0044,3538.1543,7251.5264,Train,2020-2021,24
2018-06-01,5981.0,5832.342421767803,5832.342421767802,5832.342421767804,3534.9427278872035,8129.742115648402,5303.9775,3970.8208,6637.1343,3447.2915,7160.6636,Train,2020-2021,24
2018-07-01,6104.0,6280.593810352154,6280.593810352153,6280.593810352155,3983.1941164715545,8577.993504232752,5275.3857,3949.4258,6601.3457,3418.6997,7132.072,Train,2020-2021,24
