Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,LSTM_Mean,LSTM_CI_Lower,LSTM_CI_Upper,LSTM_PI_Lower,LSTM_PI_Upper,Dataset,Horizon,Horizon_Months
2015-06-01,4369.0,4019.0132157287394,4019.0132157287394,4019.0132157287394,2431.354209107551,5606.672222349927,4182.5195,3131.269,5233.77,2867.9873,5497.052,Train,2020,12
2015-07-01,4672.0,3910.9735683921876,3910.9735683921876,3910.9735683921876,2323.3145617709993,5498.6325750133765,4161.106,3115.2268,5206.9854,2846.5737,5475.638,Train,2020,12
2015-08-01,4661.0,4040.017556773143,4040.0175567731426,4040.0175567731435,2452.3585501519547,5627.676563394331,4250.5166,3182.0703,5318.963,2935.9844,5565.049,Train,2020,12
2015-09-01,4655.0,4081.333303032528,4081.333303032528,4081.333303032528,2493.6742964113396,5668.992309653717,4161.8525,3115.7825,5207.923,2847.3203,5476.385,Train,2020,12
2015-10-01,4716.0,4093.180929257304,4093.180929257304,4093.180929257304,2505.5219226361155,5680.839935878492,4201.1694,3145.2205,5257.118,2886.6372,5515.7017,Train,2020,12
2015-11-01,4377.0,4131.5119828039105,4131.51198280391,4131.511982803911,2543.852976182722,5719.170989425099,4189.4688,3136.482,5242.4556,2874.9365,5504.001,Train,2020,12
2015-12-01,4484.0,3956.790228189663,3956.7902281896627,3956.7902281896636,2369.1312215684748,5544.4492348108515,4275.7197,3200.991,5350.448,2961.1875,5590.252,Train,2020,12
2016-01-01,4911.0,6612.7574174504825,6612.757417450482,6612.757417450483,5025.098410829294,8200.416424071671,4250.0024,3181.7144,5318.2905,2935.4702,5564.5347,Train,2020,12
2016-02-01,5218.0,3880.7961164377994,3880.7961164377994,3880.7961164377994,2293.137109816611,5468.455123058988,4238.9844,3173.4783,5304.49,2924.4521,5553.5166,Train,2020,12
2016-03-01,5759.0,5139.369832225705,5139.369832225704,5139.369832225706,3551.7108256045167,6727.028838846893,4251.645,3182.916,5320.374,2937.1128,5566.1772,Train,2020,12
2016-04-01,5456.0,5071.53304853537,5071.53304853537,5071.53304853537,3483.8740419141814,6659.192055156558,4304.8213,3222.2986,5387.3438,2990.289,5619.3535,Train,2020,12
2016-05-01,5359.0,5290.317526422476,5290.317526422475,5290.3175264224765,3702.658519801287,6877.976533043664,4546.98,3403.611,5690.3486,3232.4478,5861.512,Train,2020,12
2016-06-01,5305.0,4829.847633633448,4829.847633633447,4829.847633633449,3242.1886270122595,6417.506640254636,4814.5186,3604.368,6024.669,3499.9863,6129.051,Train,2020,12
2016-07-01,5769.0,5240.757703684619,5240.757703684618,5240.75770368462,3653.0986970634303,6828.416710305807,4992.911,3737.94,6247.8823,3678.379,6307.4434,Train,2020,12
2016-08-01,5565.0,5426.495084129827,5426.495084129827,5426.495084129827,3838.8360775086385,7014.154090751015,5095.088,3814.328,6375.8477,3780.5557,6409.62,Train,2020,12
2016-09-01,5367.0,5270.274065695113,5270.274065695113,5270.274065695113,3682.6150590739244,6857.933072316301,5002.9736,3745.46,6260.4873,3688.4414,6317.506,Train,2020,12
2016-10-01,5633.0,5196.105967111224,5196.105967111223,5196.105967111225,3608.446960490036,6783.764973732413,5000.8374,3743.904,6257.7705,3686.3052,6315.3696,Train,2020,12
2016-11-01,5664.0,5198.161781893118,5198.161781893117,5198.161781893119,3610.5027752719297,6785.8207885143065,5060.313,3788.418,6332.208,3745.7808,6374.845,Train,2020,12
2016-12-01,6082.0,5781.873534568688,5781.873534568688,5781.873534568688,4194.2145279475,7369.532541189877,5157.8115,3861.3047,6454.3184,3843.2793,6472.3438,Train,2020,12
2017-01-01,6505.0,8520.321143197367,8520.321143197365,8520.321143197369,6932.662136576178,10107.980149818555,5108.759,3824.6802,6392.8374,3794.2266,6423.291,Train,2020,12
2017-02-01,5813.0,6273.022702647091,6273.02270264709,6273.022702647092,4685.363696025903,7860.6817092682795,5187.2334,3883.0708,6491.396,3872.7012,6501.7656,Train,2020,12
2017-03-01,6379.0,6236.731057174812,6236.731057174811,6236.731057174813,4649.072050553624,7824.3900637960005,5371.9023,4021.4846,6722.3203,4057.37,6686.4346,Train,2020,12
2017-04-01,6091.0,5940.5636148412095,5940.5636148412095,5940.5636148412095,4352.904608220021,7528.222621462398,5506.3467,4122.34,6890.3535,4191.8145,6820.879,Train,2020,12
2017-05-01,6219.0,6083.567611571126,6083.567611571126,6083.567611571126,4495.908604949937,7671.226618192314,5683.1245,4254.5938,7111.6553,4368.5923,6997.6567,Train,2020,12
2017-06-01,6052.0,5914.453426235051,5914.45342623505,5914.453426235052,4326.794419613862,7502.112432856239,5716.025,4279.214,7152.836,4401.4927,7030.557,Train,2020,12
2017-07-01,6105.0,6302.191910972758,6302.191910972757,6302.191910972759,4714.532904351569,7889.850917593946,5588.7236,4184.01,6993.4375,4274.1914,6903.256,Train,2020,12
2017-08-01,6030.0,5950.693722263453,5950.693722263452,5950.693722263454,4363.034715642265,7538.352728884642,5708.5986,4273.6416,7143.5557,4394.0664,7023.131,Train,2020,12
2017-09-01,5969.0,5881.1846395819475,5881.184639581947,5881.184639581948,4293.525632960759,7468.843646203136,5619.514,4207.011,7032.017,4304.982,6934.0464,Train,2020,12
2017-10-01,5707.0,6013.681116690955,6013.681116690955,6013.681116690955,4426.022110069766,7601.340123312143,5616.7627,4204.912,7028.6133,4302.2305,6931.295,Train,2020,12
2017-11-01,5681.0,5433.748151074083,5433.748151074082,5433.748151074084,3846.0891444528943,7021.407157695271,5542.5605,4149.3574,6935.7637,4228.0283,6857.093,Train,2020,12
2017-12-01,6052.0,5820.203047451623,5820.203047451622,5820.203047451624,4232.544040830435,7407.862054072812,5501.034,4118.1895,6883.879,4186.502,6815.5664,Train,2020,12
2018-01-01,5904.0,6398.0480468425985,6398.048046842598,6398.048046842599,4810.38904022141,7985.707053463787,5431.4663,4066.165,6796.7676,4116.934,6745.9985,Train,2020,12
2018-02-01,5426.0,5855.0486760416325,5855.048676041632,5855.048676041633,4267.389669420444,7442.707682662821,5371.4727,4021.3052,6721.64,4056.9404,6686.005,Train,2020,12
2018-03-01,6005.0,5973.662632755202,5973.662632755201,5973.662632755203,4386.003626134014,7561.3216393763905,5301.336,3968.8467,6633.825,3986.8037,6615.868,Train,2020,12
2018-04-01,5766.0,5703.2023291706,5703.2023291706,5703.2023291706,4115.543322549412,7290.861335791788,5341.4814,3998.8865,6684.076,4026.9492,6656.0137,Train,2020,12
2018-05-01,5946.0,5732.907528469006,5732.907528469005,5732.907528469007,4145.248521847818,7320.5665350901945,5394.8403,4038.6763,6751.0044,4080.308,6709.3726,Train,2020,12
2018-06-01,5981.0,5832.342421767803,5832.342421767802,5832.342421767804,4244.683415146615,7420.001428388991,5303.9775,3970.8208,6637.1343,3989.4453,6618.51,Train,2020,12
2018-07-01,6104.0,6280.593810352154,6280.593810352153,6280.593810352155,4692.9348037309655,7868.252816973342,5275.3857,3949.4258,6601.3457,3960.8535,6589.918,Train,2020,12
2018-08-01,5991.0,5924.108114697855,5924.108114697854,5924.108114697856,4336.449108076667,7511.767121319043,5446.2803,4077.3452,6815.2153,4131.748,6760.8125,Train,2020,12
2018-09-01,5670.0,5815.917307627211,5815.91730762721,5815.917307627212,4228.2583010060225,7403.576314248399,5426.9556,4062.9082,6791.003,4112.4233,6741.488,Train,2020,12
2018-10-01,5709.0,5758.793801641978,5758.793801641977,5758.7938016419785,4171.134795020789,7346.452808263166,5488.472,4108.9155,6868.029,4173.94,6803.0044,Train,2020,12
2018-11-01,5416.0,5717.8236858540195,5717.823685854019,5717.82368585402,4130.164679232831,7305.482692475208,5480.2437,4102.674,6857.8135,4165.7114,6794.776,Train,2020,12
2018-12-01,5793.0,5838.072385763815,5838.072385763815,5838.072385763815,4250.413379142627,7425.731392385003,5370.781,4016.0369,6725.5244,4056.2485,6685.313,Train,2020,12
2019-01-01,5750.0,6054.429419822462,6054.429419822461,6054.4294198224625,4466.770413201273,7642.08842644365,5300.351,3967.963,6632.7393,3985.8188,6614.8833,Train,2020,12
2019-02-01,5399.0,5168.871753004773,5168.8717530047725,5168.871753004774,3581.212746383585,6756.530759625962,5191.9775,3886.94,6497.015,3877.4453,6506.51,Train,2020,12
2019-03-01,6123.0,5991.036021401861,5991.03602140186,5991.036021401862,4403.377014780673,7578.695028023049,5171.2363,3871.4229,6471.05,3856.704,6485.7686,Train,2020,12
2019-04-01,5730.0,5860.95325806053,5860.95325806053,5860.95325806053,4273.294251439342,7448.612264681718,5163.112,3865.3894,6460.834,3848.5796,6477.644,Train,2020,12
2019-05-01,6015.0,5894.009643999094,5894.009643999093,5894.009643999095,4306.3506373779055,7481.668650620282,5284.4683,3956.044,6612.8926,3969.936,6599.0005,Train,2020,12
2019-06-01,5989.0,5921.405318604333,5921.405318604332,5921.405318604334,4333.746311983145,7509.064325225521,5265.6514,3942.153,6589.1494,3951.1191,6580.1836,Train,2020,12
2019-07-01,6333.0,6067.426677730255,6067.426677730255,6067.426677730255,4479.767671109066,7655.085684351443,5298.635,3966.8218,6630.4478,3984.1025,6613.167,Train,2020,12
2019-08-01,6388.0,6228.633988281371,6228.63398828137,6228.633988281372,4640.9749816601825,7816.292994902559,5500.3115,4117.7915,6882.8315,4185.7793,6814.8438,Train,2020,12
2019-09-01,6048.0,6215.911449714039,6215.911449714038,6215.91144971404,4628.252443092851,7803.570456335227,5479.978,4102.561,6857.395,4165.446,6794.5103,Train,2020,12
2019-10-01,6322.0,5869.109580082797,5869.109580082797,5869.109580082797,4281.450573461609,7456.768586703985,5614.0264,4202.955,7025.0977,4299.494,6928.5586,Train,2020,12
2019-11-01,6405.0,6164.287270578614,6164.287270578614,6164.287270578614,4576.628263957426,7751.946277199802,5681.129,4253.1973,7109.0605,4366.5967,6995.661,Train,2020,12
2019-12-01,6523.0,6716.951135724676,6716.951135724676,6716.951135724676,5129.292129103487,8304.610142345864,5784.9478,4330.8394,7239.056,4470.4155,7099.48,Train,2020,12
2020-01-01,6732.0,6366.833061512792,6366.833061512791,6366.8330615127925,4779.174054891603,7954.49206813398,5776.955,4324.9004,7229.01,4462.423,7091.4873,Test,2020,12
2020-02-01,6587.0,5890.850163354197,5890.850163354196,5890.850163354198,4303.191156733009,7478.509169975386,5757.737,4313.862,7201.612,4443.2046,7072.269,Test,2020,12
2020-03-01,7438.0,6480.53464892855,6480.53464892855,6480.53464892855,4892.875642307362,8068.193655549739,5871.1284,4381.387,7360.8696,4556.596,7185.6606,Test,2020,12
2020-04-01,8138.0,6159.275244037634,6159.2752440376335,6159.275244037635,4571.616237416446,7746.934250658823,5913.7627,4409.234,7418.2915,4599.2305,7228.295,Test,2020,12
2020-05-01,9609.0,6342.344434674859,6342.344434674859,6342.344434674859,4754.685428053671,7930.003441296048,5942.8623,4441.1553,7444.5693,4628.33,7257.3945,Test,2020,12
2020-06-01,8378.0,6329.619163831951,6329.619163831951,6329.619163831951,4741.960157210762,7917.278170453139,5935.053,4442.8076,7427.299,4620.521,7249.5854,Test,2020,12
2020-07-01,8692.0,6497.218038796284,6497.2180387962835,6497.218038796285,4909.559032175096,8084.877045417473,5972.118,4469.9985,7474.238,4657.586,7286.6504,Test,2020,12
2020-08-01,8436.0,6413.8315562049675,6413.8315562049675,6413.8315562049675,4826.172549583779,8001.490562826156,6035.3213,4517.1553,7553.4873,4720.789,7349.8535,Test,2020,12
2020-09-01,7657.0,6064.4517988245725,6064.4517988245725,6064.4517988245725,4476.792792203384,7652.110805445761,6064.973,4539.8066,7590.1396,4750.441,7379.5054,Test,2020,12
2020-10-01,7537.0,6157.994771489894,6157.994771489894,6157.994771489894,4570.335764868706,7745.653778111083,6087.3066,4556.53,7618.0835,4772.7744,7401.839,Test,2020,12
2020-11-01,7498.0,5966.190879502007,5966.190879502006,5966.190879502008,4378.531872880819,7553.849886123196,6110.464,4573.759,7647.169,4795.9316,7424.996,Test,2020,12
2020-12-01,7861.0,6242.7206899336825,6242.720689933682,6242.720689933683,4655.061683312494,7830.379696554871,6151.925,4604.6436,7699.206,4837.3926,7466.457,Test,2020,12
