Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Seq2Seq+Attention_Mean,Seq2Seq+Attention_CI_Lower,Seq2Seq+Attention_CI_Upper,Seq2Seq+Attention_PI_Lower,Seq2Seq+Attention_PI_Upper,Dataset,Horizon,Horizon_Months
2015-06-01,4369.0,4019.0132157287394,4019.0132157287394,4019.0132157287394,1721.61352184814,6316.412909609338,4754.6665,4716.768,4792.565,2469.297,7040.036,Train,2020-2021,24
2015-07-01,4672.0,3910.9735683921876,3910.9735683921876,3910.9735683921876,1613.5738745115882,6208.3732622727875,4675.4907,4632.817,4718.1646,2390.1213,6960.8604,Train,2020-2021,24
2015-08-01,4661.0,4040.017556773143,4040.0175567731426,4040.0175567731435,1742.6178628925436,6337.4172506537425,4756.6,4717.561,4795.639,2471.2307,7041.9697,Train,2020-2021,24
2015-09-01,4655.0,4081.333303032528,4081.333303032528,4081.333303032528,1783.9336091519285,6378.732996913128,4759.988,4723.489,4796.487,2474.6184,7045.3574,Train,2020-2021,24
2015-10-01,4716.0,4093.180929257304,4093.180929257304,4093.180929257304,1795.7812353767044,6390.580623137903,4789.0522,4752.106,4825.9985,2503.6829,7074.422,Train,2020-2021,24
2015-11-01,4377.0,4131.5119828039105,4131.51198280391,4131.511982803911,1834.112288923311,6428.91167668451,4814.79,4778.675,4850.9053,2529.4207,7100.159,Train,2020-2021,24
2015-12-01,4484.0,3956.790228189663,3956.7902281896627,3956.7902281896636,1659.3905343090637,6254.189922070263,4742.952,4698.8926,4787.0117,2457.5828,7028.3213,Train,2020-2021,24
2016-01-01,4911.0,6612.7574174504825,6612.757417450482,6612.757417450483,4315.357723569883,8910.157111331082,4711.8184,4668.6313,4755.0054,2426.449,6997.1875,Train,2020-2021,24
2016-02-01,5218.0,3880.7961164377994,3880.7961164377994,3880.7961164377994,1583.3964225572,6178.195810318399,4836.1147,4800.9336,4871.296,2550.7454,7121.4844,Train,2020-2021,24
2016-03-01,5759.0,5139.369832225705,5139.369832225704,5139.369832225706,2841.9701383451056,7436.7695261063045,5019.007,4981.482,5056.5317,2733.6375,7304.376,Train,2020-2021,24
2016-04-01,5456.0,5071.53304853537,5071.53304853537,5071.53304853537,2774.1333546547703,7368.932742415969,5301.939,5256.069,5347.809,3016.5696,7587.3086,Train,2020-2021,24
2016-05-01,5359.0,5290.317526422476,5290.317526422475,5290.3175264224765,2992.917832541876,7587.717220303075,5423.3447,5385.419,5461.2705,3137.9753,7708.714,Train,2020-2021,24
