Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Seq2Seq+Attention_Mean,Seq2Seq+Attention_CI_Lower,Seq2Seq+Attention_CI_Upper,Seq2Seq+Attention_PI_Lower,Seq2Seq+Attention_PI_Upper,Dataset,Horizon,Horizon_Months
2015-06-01,4369.0,4019.0132157287394,4019.0132157287394,4019.0132157287394,2431.354209107551,5606.672222349927,4754.6665,4716.768,4792.565,3313.1255,6196.2075,Train,2020,12
2015-07-01,4672.0,3910.9735683921876,3910.9735683921876,3910.9735683921876,2323.3145617709993,5498.6325750133765,4675.4907,4632.817,4718.1646,3233.9497,6117.0317,Train,2020,12
2015-08-01,4661.0,4040.017556773143,4040.0175567731426,4040.0175567731435,2452.3585501519547,5627.676563394331,4756.6,4717.561,4795.639,3315.059,6198.141,Train,2020,12
2015-09-01,4655.0,4081.333303032528,4081.333303032528,4081.333303032528,2493.6742964113396,5668.992309653717,4759.988,4723.489,4796.487,3318.4468,6201.529,Train,2020,12
2015-10-01,4716.0,4093.180929257304,4093.180929257304,4093.180929257304,2505.5219226361155,5680.839935878492,4789.0522,4752.106,4825.9985,3347.5112,6230.5933,Train,2020,12
2015-11-01,4377.0,4131.5119828039105,4131.51198280391,4131.511982803911,2543.852976182722,5719.170989425099,4814.79,4778.675,4850.9053,3373.249,6256.331,Train,2020,12
2015-12-01,4484.0,3956.790228189663,3956.7902281896627,3956.7902281896636,2369.1312215684748,5544.4492348108515,4742.952,4698.8926,4787.0117,3301.4111,6184.493,Train,2020,12
2016-01-01,4911.0,6612.7574174504825,6612.757417450482,6612.757417450483,5025.098410829294,8200.416424071671,4711.8184,4668.6313,4755.0054,3270.2773,6153.3594,Train,2020,12
2016-02-01,5218.0,3880.7961164377994,3880.7961164377994,3880.7961164377994,2293.137109816611,5468.455123058988,4836.1147,4800.9336,4871.296,3394.5737,6277.656,Train,2020,12
2016-03-01,5759.0,5139.369832225705,5139.369832225704,5139.369832225706,3551.7108256045167,6727.028838846893,5019.007,4981.482,5056.5317,3577.4658,6460.548,Train,2020,12
2016-04-01,5456.0,5071.53304853537,5071.53304853537,5071.53304853537,3483.8740419141814,6659.192055156558,5301.939,5256.069,5347.809,3860.398,6743.48,Train,2020,12
2016-05-01,5359.0,5290.317526422476,5290.317526422475,5290.3175264224765,3702.658519801287,6877.976533043664,5423.3447,5385.419,5461.2705,3981.8037,6864.8857,Train,2020,12
2016-06-01,5305.0,4829.847633633448,4829.847633633447,4829.847633633449,3242.1886270122595,6417.506640254636,5490.1187,5452.503,5527.7344,4048.5776,6931.6597,Train,2020,12
2016-07-01,5769.0,5240.757703684619,5240.757703684618,5240.75770368462,3653.0986970634303,6828.416710305807,5504.936,5464.9487,5544.9233,4063.395,6946.477,Train,2020,12
2016-08-01,5565.0,5426.495084129827,5426.495084129827,5426.495084129827,3838.8360775086385,7014.154090751015,5637.9907,5597.6353,5678.346,4196.4497,7079.5317,Train,2020,12
2016-09-01,5367.0,5270.274065695113,5270.274065695113,5270.274065695113,3682.6150590739244,6857.933072316301,5619.524,5579.7036,5659.344,4177.983,7061.065,Train,2020,12
2016-10-01,5633.0,5196.105967111224,5196.105967111223,5196.105967111225,3608.446960490036,6783.764973732413,5570.624,5530.217,5611.0312,4129.083,7012.165,Train,2020,12
2016-11-01,5664.0,5198.161781893118,5198.161781893117,5198.161781893119,3610.5027752719297,6785.8207885143065,5628.771,5588.04,5669.502,4187.23,7070.312,Train,2020,12
2016-12-01,6082.0,5781.873534568688,5781.873534568688,5781.873534568688,4194.2145279475,7369.532541189877,5685.816,5643.9014,5727.7305,4244.275,7127.357,Train,2020,12
2017-01-01,6505.0,8520.321143197367,8520.321143197365,8520.321143197369,6932.662136576178,10107.980149818555,5809.331,5766.6,5852.062,4367.79,7250.872,Train,2020,12
2017-02-01,5813.0,6273.022702647091,6273.02270264709,6273.022702647092,4685.363696025903,7860.6817092682795,6029.7886,5982.876,6076.701,4588.2476,7471.3296,Train,2020,12
2017-03-01,6379.0,6236.731057174812,6236.731057174811,6236.731057174813,4649.072050553624,7824.3900637960005,5997.607,5948.342,6046.872,4556.066,7439.148,Train,2020,12
2017-04-01,6091.0,5940.5636148412095,5940.5636148412095,5940.5636148412095,4352.904608220021,7528.222621462398,6138.747,6087.783,6189.711,4697.206,7580.288,Train,2020,12
2017-05-01,6219.0,6083.567611571126,6083.567611571126,6083.567611571126,4495.908604949937,7671.226618192314,6156.944,6101.7466,6212.141,4715.403,7598.485,Train,2020,12
2017-06-01,6052.0,5914.453426235051,5914.45342623505,5914.453426235052,4326.794419613862,7502.112432856239,6182.1504,6126.8794,6237.4214,4740.6094,7623.6914,Train,2020,12
2017-07-01,6105.0,6302.191910972758,6302.191910972757,6302.191910972759,4714.532904351569,7889.850917593946,6112.0684,6058.3037,6165.833,4670.5273,7553.6094,Train,2020,12
2017-08-01,6030.0,5950.693722263453,5950.693722263452,5950.693722263454,4363.034715642265,7538.352728884642,6137.276,6081.6167,6192.935,4695.735,7578.817,Train,2020,12
2017-09-01,5969.0,5881.1846395819475,5881.184639581947,5881.184639581948,4293.525632960759,7468.843646203136,6087.7275,6033.922,6141.533,4646.1865,7529.2686,Train,2020,12
