Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Seq2Seq_Mean,Seq2Seq_CI_Lower,Seq2Seq_CI_Upper,Seq2Seq_PI_Lower,Seq2Seq_PI_Upper,Dataset,Horizon,Horizon_Months
2015-08-01,4661.0,4040.017556773143,4040.0175567731426,4040.0175567731435,1441.60071602349,6638.434397522797,4819.2104,4795.056,4843.3647,2236.9858,7401.435,Train,2020-2022,36
2015-09-01,4655.0,4081.333303032528,4081.333303032528,4081.333303032528,1482.9164622828748,6679.750143782181,4850.2607,4826.0293,4874.492,2268.0361,7432.4854,Train,2020-2022,36
2015-10-01,4716.0,4093.180929257304,4093.180929257304,4093.180929257304,1494.7640885076507,6691.597770006957,4871.8193,4847.5005,4896.138,2289.5947,7454.044,Train,2020-2022,36
2015-11-01,4377.0,4131.5119828039105,4131.51198280391,4131.511982803911,1533.0951420542574,6729.928823553564,4900.404,4875.9365,4924.871,2318.1792,7482.6284,Train,2020-2022,36
2015-12-01,4484.0,3956.790228189663,3956.7902281896627,3956.7902281896636,1358.37338744001,6555.207068939317,4823.396,4800.393,4846.399,2241.1714,7405.6206,Train,2020-2022,36
2016-01-01,4911.0,6612.7574174504825,6612.757417450482,6612.757417450483,4014.3405767008294,9211.174258200135,4792.0737,4768.2207,4815.927,2209.849,7374.2983,Train,2020-2022,36
2016-02-01,5218.0,3880.7961164377994,3880.7961164377994,3880.7961164377994,1282.3792756881462,6479.212957187452,4898.622,4872.098,4925.146,2316.3975,7480.8467,Train,2020-2022,36
2016-03-01,5759.0,5139.369832225705,5139.369832225704,5139.369832225706,2540.952991476052,7737.786672975359,5072.2256,5039.2876,5105.1636,2490.001,7654.45,Train,2020-2022,36
2016-04-01,5456.0,5071.53304853537,5071.53304853537,5071.53304853537,2473.1162077857166,7669.949889285022,5360.3994,5313.25,5407.549,2778.1748,7942.624,Train,2020-2022,36
2016-05-01,5359.0,5290.317526422476,5290.317526422475,5290.3175264224765,2691.9006856728224,7888.734367172128,5473.2324,5430.474,5515.9907,2891.0078,8055.457,Train,2020-2022,36
