Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Seq2Seq_Mean,Seq2Seq_CI_Lower,Seq2Seq_CI_Upper,Seq2Seq_PI_Lower,Seq2Seq_PI_Upper,Dataset,Horizon,Horizon_Months
2015-08-01,4661.0,4040.017556773143,4040.0175567731426,4040.0175567731435,2431.0340664227188,5649.001047123567,4819.2104,4795.056,4843.3647,3387.8745,6250.5464,Train,2020,12
2015-09-01,4655.0,4081.333303032528,4081.333303032528,4081.333303032528,2472.349812682104,5690.316793382952,4850.2607,4826.0293,4874.492,3418.9248,6281.5967,Train,2020,12
2015-10-01,4716.0,4093.180929257304,4093.180929257304,4093.180929257304,2484.19743890688,5702.164419607728,4871.8193,4847.5005,4896.138,3440.4834,6303.1553,Train,2020,12
2015-11-01,4377.0,4131.5119828039105,4131.51198280391,4131.511982803911,2522.5284924534863,5740.495473154335,4900.404,4875.9365,4924.871,3469.0679,6331.7397,Train,2020,12
2015-12-01,4484.0,3956.790228189663,3956.7902281896627,3956.7902281896636,2347.806737839239,5565.773718540087,4823.396,4800.393,4846.399,3392.06,6254.732,Train,2020,12
2016-01-01,4911.0,6612.7574174504825,6612.757417450482,6612.757417450483,5003.773927100058,8221.740907800906,4792.0737,4768.2207,4815.927,3360.7378,6223.4097,Train,2020,12
2016-02-01,5218.0,3880.7961164377994,3880.7961164377994,3880.7961164377994,2271.812626087375,5489.779606788224,4898.622,4872.098,4925.146,3467.2861,6329.958,Train,2020,12
2016-03-01,5759.0,5139.369832225705,5139.369832225704,5139.369832225706,3530.386341875281,6748.353322576129,5072.2256,5039.2876,5105.1636,3640.8896,6503.5615,Train,2020,12
2016-04-01,5456.0,5071.53304853537,5071.53304853537,5071.53304853537,3462.5495581849455,6680.516538885794,5360.3994,5313.25,5407.549,3929.0635,6791.7354,Train,2020,12
2016-05-01,5359.0,5290.317526422476,5290.317526422475,5290.3175264224765,3681.3340360720513,6899.3010167729,5473.2324,5430.474,5515.9907,4041.8965,6904.5684,Train,2020,12
2016-06-01,5305.0,4829.847633633448,4829.847633633447,4829.847633633449,3220.8641432830236,6438.831123983872,5502.4727,5466.9146,5538.031,4071.1367,6933.8086,Train,2020,12
2016-07-01,5769.0,5240.757703684619,5240.757703684618,5240.75770368462,3631.7742133341944,6849.741194035043,5493.163,5462.0757,5524.2505,4061.8271,6924.499,Train,2020,12
2016-08-01,5565.0,5426.495084129827,5426.495084129827,5426.495084129827,3817.5115937794026,7035.478574480251,5618.825,5581.3213,5656.329,4187.4893,7050.161,Train,2020,12
2016-09-01,5367.0,5270.274065695113,5270.274065695113,5270.274065695113,3661.2905753446885,6879.257556045537,5647.497,5611.4917,5683.5024,4216.161,7078.833,Train,2020,12
2016-10-01,5633.0,5196.105967111224,5196.105967111223,5196.105967111225,3587.1224767608,6805.089457461649,5598.526,5565.8228,5631.229,4167.19,7029.862,Train,2020,12
2016-11-01,5664.0,5198.161781893118,5198.161781893117,5198.161781893119,3589.178291542694,6807.145272243542,5636.8735,5601.668,5672.079,4205.5376,7068.2095,Train,2020,12
2016-12-01,6082.0,5781.873534568688,5781.873534568688,5781.873534568688,4172.890044218264,7390.8570249191125,5679.542,5643.0527,5716.0312,4248.206,7110.878,Train,2020,12
2017-01-01,6505.0,8520.321143197367,8520.321143197365,8520.321143197369,6911.337652846943,10129.30463354779,5838.2686,5793.847,5882.69,4406.9326,7269.6045,Train,2020,12
2017-02-01,5813.0,6273.022702647091,6273.02270264709,6273.022702647092,4664.039212296667,7882.006192997515,6085.5303,6029.3096,6141.751,4654.1943,7516.866,Train,2020,12
2017-03-01,6379.0,6236.731057174812,6236.731057174811,6236.731057174813,4627.747566824388,7845.714547525236,6038.244,5995.477,6081.011,4606.908,7469.58,Train,2020,12
2017-04-01,6091.0,5940.5636148412095,5940.5636148412095,5940.5636148412095,4331.580124490785,7549.547105191634,6160.212,6112.32,6208.104,4728.876,7591.548,Train,2020,12
2017-05-01,6219.0,6083.567611571126,6083.567611571126,6083.567611571126,4474.5841212207015,7692.55110192155,6157.384,6114.331,6200.4365,4726.048,7588.7197,Train,2020,12
2017-06-01,6052.0,5914.453426235051,5914.45342623505,5914.453426235052,4305.4699358846265,7523.436916585475,6184.35,6140.667,6228.033,4753.014,7615.686,Train,2020,12
2017-07-01,6105.0,6302.191910972758,6302.191910972757,6302.191910972759,4693.2084206223335,7911.175401323182,6149.234,6107.655,6190.813,4717.898,7580.57,Train,2020,12
2017-08-01,6030.0,5950.693722263453,5950.693722263452,5950.693722263454,4341.710231913029,7559.677212613878,6135.961,6094.047,6177.875,4704.625,7567.297,Train,2020,12
2017-09-01,5969.0,5881.1846395819475,5881.184639581947,5881.184639581948,4272.201149231523,7490.168129932372,6103.6294,6062.7007,6144.558,4672.2935,7534.9653,Train,2020,12
2017-10-01,5707.0,6013.681116690955,6013.681116690955,6013.681116690955,4404.69762634053,7622.664607041379,6065.5796,6025.182,6105.977,4634.2437,7496.9155,Train,2020,12
2017-11-01,5681.0,5433.748151074083,5433.748151074082,5433.748151074084,3824.7646607236584,7042.731641424507,5955.6514,5917.901,5993.402,4524.3154,7386.9873,Train,2020,12
2017-12-01,6052.0,5820.203047451623,5820.203047451622,5820.203047451624,4211.219557101199,7429.1865378020475,5871.8354,5834.2646,5909.4062,4440.4995,7303.1714,Train,2020,12
2018-01-01,5904.0,6398.0480468425985,6398.048046842598,6398.048046842599,4789.064556492174,8007.031537193023,5933.126,5892.2974,5973.9546,4501.79,7364.462,Train,2020,12
2018-02-01,5426.0,5855.0486760416325,5855.048676041632,5855.048676041633,4246.065185691208,7464.032166392057,5942.2646,5902.0728,5982.4565,4510.9287,7373.6006,Train,2020,12
2018-03-01,6005.0,5973.662632755202,5973.662632755201,5973.662632755203,4364.679142404778,7582.646123105626,5798.8066,5764.29,5833.323,4367.4707,7230.1426,Train,2020,12
2018-04-01,5766.0,5703.2023291706,5703.2023291706,5703.2023291706,4094.2188388201757,7312.185819521024,5870.4146,5830.881,5909.948,4439.0786,7301.7505,Train,2020,12
2018-05-01,5946.0,5732.907528469006,5732.907528469005,5732.907528469007,4123.924038118582,7341.89101881943,5859.823,5821.8447,5897.802,4428.4873,7291.159,Train,2020,12
2018-06-01,5981.0,5832.342421767803,5832.342421767802,5832.342421767804,4223.358931417379,7441.325912118227,5906.462,5866.251,5946.673,4475.126,7337.798,Train,2020,12
2018-07-01,6104.0,6280.593810352154,6280.593810352153,6280.593810352155,4671.61032000173,7889.577300702578,5951.743,5910.3657,5993.1206,4520.407,7383.079,Train,2020,12
2018-08-01,5991.0,5924.108114697855,5924.108114697854,5924.108114697856,4315.124624347431,7533.091605048279,6018.7783,5975.1113,6062.4453,4587.4424,7450.1143,Train,2020,12
2018-09-01,5670.0,5815.917307627211,5815.91730762721,5815.917307627212,4206.933817276787,7424.900797977635,6030.0557,5988.375,6071.7363,4598.7197,7461.3916,Train,2020,12
