Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,TCN_Mean,TCN_CI_Lower,TCN_CI_Upper,TCN_PI_Lower,TCN_PI_Upper,Dataset,Horizon,Horizon_Months
2015-08-01,4661.0,4040.017556773143,4040.0175567731426,4040.0175567731435,2431.0340664227188,5649.001047123567,4314.23,4105.8477,4522.6123,2120.6326,6507.827,Train,2020,12
2015-09-01,4655.0,4081.333303032528,4081.333303032528,4081.333303032528,2472.349812682104,5690.316793382952,4234.7476,4083.701,4385.794,2041.1501,6428.3447,Train,2020,12
2015-10-01,4716.0,4093.180929257304,4093.180929257304,4093.180929257304,2484.19743890688,5702.164419607728,4278.872,4081.585,4476.159,2085.2747,6472.4697,Train,2020,12
2015-11-01,4377.0,4131.5119828039105,4131.51198280391,4131.511982803911,2522.5284924534863,5740.495473154335,4308.3623,4152.4146,4464.31,2114.765,6501.96,Train,2020,12
2015-12-01,4484.0,3956.790228189663,3956.7902281896627,3956.7902281896636,2347.806737839239,5565.773718540087,4118.514,3927.643,4309.3853,1924.9167,6312.1113,Train,2020,12
2016-01-01,4911.0,6612.7574174504825,6612.757417450482,6612.757417450483,5003.773927100058,8221.740907800906,4199.1797,4011.4814,4386.878,2005.5823,6392.7773,Train,2020,12
2016-02-01,5218.0,3880.7961164377994,3880.7961164377994,3880.7961164377994,2271.812626087375,5489.779606788224,4414.425,4244.1924,4584.657,2220.8274,6608.0225,Train,2020,12
2016-03-01,5759.0,5139.369832225705,5139.369832225704,5139.369832225706,3530.386341875281,6748.353322576129,4649.741,4457.5684,4841.914,2456.1438,6843.339,Train,2020,12
2016-04-01,5456.0,5071.53304853537,5071.53304853537,5071.53304853537,3462.5495581849455,6680.516538885794,5071.4287,4874.6123,5268.245,2877.8313,7265.0264,Train,2020,12
2016-05-01,5359.0,5290.317526422476,5290.317526422475,5290.3175264224765,3681.3340360720513,6899.3010167729,4975.4136,4810.248,5140.579,2781.8162,7169.0107,Train,2020,12
2016-06-01,5305.0,4829.847633633448,4829.847633633447,4829.847633633449,3220.8641432830236,6438.831123983872,5044.6426,4884.119,5205.166,2851.0452,7238.24,Train,2020,12
