Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Transformer_Mean,Transformer_CI_Lower,Transformer_CI_Upper,Transformer_PI_Lower,Transformer_PI_Upper,Dataset,Horizon,Horizon_Months
2015-08-01,4661.0,4040.017556773143,4040.0175567731426,4040.0175567731435,1441.60071602349,6638.434397522797,5168.2188,5066.498,5269.9395,2240.6301,8095.8076,Train,2020-2022,36
2015-09-01,4655.0,4081.333303032528,4081.333303032528,4081.333303032528,1482.9164622828748,6679.750143782181,5177.1143,5073.0645,5281.164,2249.5256,8104.703,Train,2020-2022,36
2015-10-01,4716.0,4093.180929257304,4093.180929257304,4093.180929257304,1494.7640885076507,6691.597770006957,5198.8037,5100.8633,5296.744,2271.215,8126.3926,Train,2020-2022,36
2015-11-01,4377.0,4131.5119828039105,4131.51198280391,4131.511982803911,1533.0951420542574,6729.928823553564,5189.0,5093.1997,5284.8003,2261.4114,8116.589,Train,2020-2022,36
2015-12-01,4484.0,3956.790228189663,3956.7902281896627,3956.7902281896636,1358.37338744001,6555.207068939317,5177.7026,5080.984,5274.4214,2250.114,8105.291,Train,2020-2022,36
2016-01-01,4911.0,6612.7574174504825,6612.757417450482,6612.757417450483,4014.3405767008294,9211.174258200135,5170.6626,5068.782,5272.543,2243.074,8098.251,Train,2020-2022,36
2016-02-01,5218.0,3880.7961164377994,3880.7961164377994,3880.7961164377994,1282.3792756881462,6479.212957187452,5210.827,5106.372,5315.282,2283.2385,8138.416,Train,2020-2022,36
2016-03-01,5759.0,5139.369832225705,5139.369832225704,5139.369832225706,2540.952991476052,7737.786672975359,5264.445,5169.325,5359.5645,2336.8562,8192.033,Train,2020-2022,36
2016-04-01,5456.0,5071.53304853537,5071.53304853537,5071.53304853537,2473.1162077857166,7669.949889285022,5351.229,5272.215,5430.243,2423.6404,8278.817,Train,2020-2022,36
2016-05-01,5359.0,5290.317526422476,5290.317526422475,5290.3175264224765,2691.9006856728224,7888.734367172128,5404.3022,5333.5425,5475.062,2476.7136,8331.891,Train,2020-2022,36
2016-06-01,5305.0,4829.847633633448,4829.847633633447,4829.847633633449,2231.4307928837948,7428.264474383101,5458.779,5385.472,5532.0854,2531.1902,8386.367,Train,2020-2022,36
2016-07-01,5769.0,5240.757703684619,5240.757703684618,5240.75770368462,2642.3408629349656,7839.174544434272,5527.965,5476.574,5579.3555,2600.3762,8455.554,Train,2020-2022,36
2016-08-01,5565.0,5426.495084129827,5426.495084129827,5426.495084129827,2828.0782433801737,8024.91192487948,5639.3696,5594.8477,5683.8916,2711.781,8566.958,Train,2020-2022,36
2016-09-01,5367.0,5270.274065695113,5270.274065695113,5270.274065695113,2671.8572249454596,7868.690906444766,5687.7935,5643.379,5732.208,2760.2048,8615.382,Train,2020-2022,36
2016-10-01,5633.0,5196.105967111224,5196.105967111223,5196.105967111225,2597.689126361571,7794.522807860878,5693.9893,5654.3335,5733.645,2766.4006,8621.578,Train,2020-2022,36
2016-11-01,5664.0,5198.161781893118,5198.161781893117,5198.161781893119,2599.744941143465,7796.578622642772,5683.2603,5642.352,5724.1685,2755.6716,8610.849,Train,2020-2022,36
2016-12-01,6082.0,5781.873534568688,5781.873534568688,5781.873534568688,3183.456693819035,8380.290375318342,5704.288,5667.8594,5740.717,2776.6995,8631.877,Train,2020-2022,36
2017-01-01,6505.0,8520.321143197367,8520.321143197365,8520.321143197369,5921.904302447714,11118.73798394702,5766.52,5728.387,5804.653,2838.9314,8694.108,Train,2020-2022,36
2017-02-01,5813.0,6273.022702647091,6273.02270264709,6273.022702647092,3674.605861897438,8871.439543396744,5849.3423,5793.518,5905.1665,2921.7537,8776.931,Train,2020-2022,36
2017-03-01,6379.0,6236.731057174812,6236.731057174811,6236.731057174813,3638.314216425159,8835.147897924466,5849.8613,5786.5044,5913.2183,2922.2727,8777.45,Train,2020-2022,36
2017-04-01,6091.0,5940.5636148412095,5940.5636148412095,5940.5636148412095,3342.1467740915564,8538.980455590863,5906.052,5829.6367,5982.467,2978.4631,8833.641,Train,2020-2022,36
2017-05-01,6219.0,6083.567611571126,6083.567611571126,6083.567611571126,3485.1507708214726,8681.98445232078,5942.2607,5879.2627,6005.259,3014.672,8869.85,Train,2020-2022,36
2017-06-01,6052.0,5914.453426235051,5914.45342623505,5914.453426235052,3316.0365854853976,8512.870266984704,5983.321,5919.8047,6046.837,3055.7322,8910.909,Train,2020-2022,36
2017-07-01,6105.0,6302.191910972758,6302.191910972757,6302.191910972759,3703.7750702231046,8900.608751722411,5994.671,5926.7197,6062.622,3067.0823,8922.26,Train,2020-2022,36
2017-08-01,6030.0,5950.693722263453,5950.693722263452,5950.693722263454,3352.2768815138,8549.110563013106,5996.4233,5936.9907,6055.856,3068.8347,8924.012,Train,2020-2022,36
