Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Transformer_Mean,Transformer_CI_Lower,Transformer_CI_Upper,Transformer_PI_Lower,Transformer_PI_Upper,Dataset,Horizon,Horizon_Months
2015-08-01,4661.0,4040.017556773143,4040.0175567731426,4040.0175567731435,2431.0340664227188,5649.001047123567,5168.2188,5066.498,5269.9395,3476.3179,6860.1196,Train,2020,12
2015-09-01,4655.0,4081.333303032528,4081.333303032528,4081.333303032528,2472.349812682104,5690.316793382952,5177.1143,5073.0645,5281.164,3485.2134,6869.015,Train,2020,12
2015-10-01,4716.0,4093.180929257304,4093.180929257304,4093.180929257304,2484.19743890688,5702.164419607728,5198.8037,5100.8633,5296.744,3506.9028,6890.7046,Train,2020,12
2015-11-01,4377.0,4131.5119828039105,4131.51198280391,4131.511982803911,2522.5284924534863,5740.495473154335,5189.0,5093.1997,5284.8003,3497.099,6880.901,Train,2020,12
2015-12-01,4484.0,3956.790228189663,3956.7902281896627,3956.7902281896636,2347.806737839239,5565.773718540087,5177.7026,5080.984,5274.4214,3485.8018,6869.6035,Train,2020,12
2016-01-01,4911.0,6612.7574174504825,6612.757417450482,6612.757417450483,5003.773927100058,8221.740907800906,5170.6626,5068.782,5272.543,3478.7617,6862.5635,Train,2020,12
2016-02-01,5218.0,3880.7961164377994,3880.7961164377994,3880.7961164377994,2271.812626087375,5489.779606788224,5210.827,5106.372,5315.282,3518.9263,6902.728,Train,2020,12
2016-03-01,5759.0,5139.369832225705,5139.369832225704,5139.369832225706,3530.386341875281,6748.353322576129,5264.445,5169.325,5359.5645,3572.544,6956.3457,Train,2020,12
2016-04-01,5456.0,5071.53304853537,5071.53304853537,5071.53304853537,3462.5495581849455,6680.516538885794,5351.229,5272.215,5430.243,3659.3281,7043.13,Train,2020,12
2016-05-01,5359.0,5290.317526422476,5290.317526422475,5290.3175264224765,3681.3340360720513,6899.3010167729,5404.3022,5333.5425,5475.062,3712.4014,7096.203,Train,2020,12
2016-06-01,5305.0,4829.847633633448,4829.847633633447,4829.847633633449,3220.8641432830236,6438.831123983872,5458.779,5385.472,5532.0854,3766.878,7150.6797,Train,2020,12
