Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,456,456,278.65184964401635,212.0443401834239,4.545478994879878,77646.85331003148,94.78260869565217,1521.1460900947638,1375.8400166829426,15.309961442357187,2313885.4274105877,64.58333333333334
2,456,1456,270.62115374019515,199.50160495923913,4.2437396120035755,73235.80885167433,94.78260869565217,2007.591745221659,1871.9962666829426,20.778981198671556,4030424.6154821464,25.0
3,456,2456,266.1127663612758,195.9253078294837,4.120371030947993,70816.00442045098,94.78260869565217,2405.428524064799,2279.1128845214844,25.345447849466268,5786086.384384558,20.833333333333336
4,456,3456,286.3780512244563,212.1158160665761,4.485581105538818,82012.38822311733,94.78260869565217,2221.8357436877095,2096.379628499349,23.30394128207535,4936554.071928318,25.0
5,456,4456,276.98402004340505,211.4303413722826,4.562968828544602,76720.1473594054,94.78260869565217,1277.9879002933553,1098.932373046875,12.374744327064272,1633253.073296219,83.33333333333334
6,456,5456,274.3214175571494,207.74909774116847,4.444473324292534,75252.24013056392,95.65217391304348,1569.501101441753,1419.4620157877605,15.773301394547163,2463333.707426876,54.166666666666664
7,456,6456,306.77486582314987,227.1132578974185,4.718505229959908,94110.81830081162,90.43478260869566,2982.069526402214,2842.396311442057,31.690293669725666,8892738.660296723,14.583333333333334
8,456,7456,263.89425124656316,193.7847316576087,4.13133027972906,69640.17584098422,95.65217391304348,1741.0278730277269,1583.1281636555989,17.543983906549514,3031178.054659451,31.25
9,456,8456,284.90041498681387,218.42255222486412,4.721228232574657,81168.24645965877,94.78260869565217,1282.1055325045497,1105.0219014485676,12.438496516367163,1643794.5964787751,83.33333333333334
10,456,9456,253.07606673266685,184.4464949898098,3.9104311430587293,64047.49555287724,94.78260869565217,2016.0476173459938,1879.7079467773438,20.854908233855564,4064447.9954064586,25.0
