Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,789,789,236.50735052160007,184.20847880945797,3.961076262765296,55935.72685074701,96.46017699115043,1596.0388666881513,1437.571797688802,15.905914281398015,2547340.0639791987,41.66666666666667
2,789,1789,231.96116012117213,179.94269609029314,3.8467188557328016,53805.979804760056,95.57522123893806,2108.1011570600276,1977.600118001302,21.93358884938784,4444090.488397826,25.0
3,789,2789,230.09421820686796,175.62477746474005,3.6732732694274026,52943.34925222977,94.69026548672566,2708.7872639785937,2570.7782592773438,28.60098866359941,7337528.441492637,14.583333333333334
4,789,3789,240.06230226378113,194.09245367809734,4.246374154540862,57629.90896818701,95.57522123893806,2184.621743643883,2054.0181579589844,22.78932065092992,4772572.162801638,25.0
5,789,4789,233.1950043283033,176.02228377350664,3.6751467179069115,54379.910043677395,94.69026548672566,2641.6087800891137,2506.06591796875,27.87672159103241,6978096.947043896,18.75
6,789,5789,228.40069447110952,177.0011666897124,3.755257796195117,52166.87723488512,96.46017699115043,2514.204483037508,2380.921671549479,26.466991602386763,6321224.182525903,18.75
7,789,6789,245.5438534853152,184.01343205544802,3.808390058755446,60291.78398441794,91.1504424778761,3309.452013417793,3148.7945760091147,35.10475101489224,10952472.629115084,16.666666666666664
8,789,7789,242.39724460034444,180.91379675400995,3.7396065486577394,58756.424189839214,93.80530973451327,3395.5471423217605,3237.1221313476562,36.107718640330916,11529740.395729473,14.583333333333334
9,789,8789,244.69391525970136,181.5735316993916,3.7482409120711426,59875.11216512191,93.80530973451327,3365.423487626077,3207.457733154297,35.77453742192611,11326075.25106527,14.583333333333334
10,789,9789,242.94083075446815,180.55654772193031,3.7450401941974243,59020.247247671134,94.69026548672566,2998.783281413249,2851.9279174804688,31.769936728944252,8992701.168883612,14.583333333333334
