Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,1000,1000,245.79537214772265,180.95836659307065,3.7732990998138067,60415.364969237475,93.91304347826087,3022.4338427540156,2878.7257080078125,32.08277862596091,9135106.333824804,14.583333333333334
2,1000,2000,230.31847950236448,180.2086192255435,3.8795595257309703,53046.602000281084,95.65217391304348,2290.093754685025,2161.445302327474,24.007720531783704,5244529.405247356,22.916666666666664
3,1000,3000,241.79690234046777,180.4995350713315,3.7695882094911974,58465.74198144571,91.30434782608695,2974.369752362568,2831.029744466146,31.541006119435583,8846875.423769364,14.583333333333334
4,1000,4000,236.57999392751444,179.4360988451087,3.805709720247573,55970.09352674277,94.78260869565217,3070.7429435032204,2927.7854512532554,32.63694382953317,9429462.225074822,12.5
5,1000,5000,244.95218346105457,189.36024116847827,4.114690504663486,60001.57218233813,96.52173913043478,1585.4989022391605,1427.398417154948,15.8204102494085,2513806.769001583,50.0
6,1000,6000,232.76807775183207,181.87447138247282,3.9132199509993595,54180.978020282935,95.65217391304348,2124.4281120485484,1994.2233784993489,22.118159899758556,4513194.803262159,25.0
7,1000,7000,246.78779034805876,182.23062797214675,3.798865445481539,60904.2134648774,93.91304347826087,3007.4739628455627,2862.1339823404946,31.8917172391477,9044899.637193993,14.583333333333334
8,1000,8000,233.54714441140507,189.73460215692936,4.1524111259030185,54544.2686627217,93.91304347826087,2497.6804634906503,2366.584991455078,26.31318402685127,6238407.69770287,18.75
9,1000,9000,249.233554023965,202.47900390625,4.462099270129475,62117.36445141668,93.04347826086956,1570.7473108769382,1416.5318400065105,15.639147806724162,2467247.1146271327,39.58333333333333
10,1000,10000,226.39369837016537,172.51067637567934,3.655818630419014,51254.10666172142,95.65217391304348,2466.333070269904,2336.3583374023438,25.975818383632625,6082798.813506971,18.75
