Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,456,456,286.6547304637039,213.56771337458517,4.395969560422371,82170.93449721874,90.2654867256637,2934.404718721408,2802.9887084960938,31.259807758290094,8610731.053254465,12.5
2,456,1456,340.9966680378309,269.2122251797566,5.549953501300815,116278.72761290263,85.84070796460178,4750.1844156240095,4508.030822753906,50.347753757707494,22564251.982437212,18.75
3,456,2456,253.06588860849064,202.3753003145741,4.415564227837282,64042.343977205,94.69026548672566,2156.4883675780775,2027.6305338541667,22.499751154243018,4650442.079499562,25.0
4,456,3456,244.51849404855403,192.77877618570244,4.073839737403371,59789.29393177275,95.57522123893806,3090.1621417429687,2972.6673380533853,33.234362928795065,9549102.062261492,6.25
5,456,4456,305.78571367370427,261.4440896363385,5.970130792748655,93504.90268693666,87.61061946902655,2076.234475329854,1945.3868509928386,21.566457215295916,4310749.596548234,25.0
6,456,5456,248.62729056630528,203.99783514242256,4.493105240331888,61815.529614342,93.80530973451327,2836.7816226343525,2710.7222595214844,30.228739997054916,8047329.974515989,12.5
7,456,6456,231.2307318461378,174.66211369607302,3.637846804633191,53467.65135010048,93.80530973451327,2799.5580743293945,2664.065948486328,29.66600003045067,7837525.411542907,14.583333333333334
8,456,7456,314.5280175132666,238.64835756014935,4.878327487081741,98927.87380082575,87.61061946902655,3319.607985514436,3179.447479248047,35.50954818574573,11019797.177491212,12.5
9,456,8456,242.4216698712936,178.72624706167036,3.796377730523022,58768.26602318646,96.46017699115043,2274.9398187472466,2148.5247090657554,23.873538534770265,5175351.1789217545,25.0
10,456,9456,239.12591379613025,175.40859850318031,3.681132046753064,57181.20264883432,94.69026548672566,2807.380887625477,2676.321299235026,29.82141256649127,7881387.448204811,12.5
