Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,123,123,335.2438125044983,252.34757634943182,4.442707040169211,112388.41382255121,92.72727272727272,1766.9833958608174,1611.209940592448,17.84252040144465,3122230.321247826,31.25
2,123,1123,336.9099305873242,254.3576171875,4.493821707021799,113508.30132835562,92.72727272727272,1463.3039659779254,1320.1339518229167,14.698988841643542,2141258.4968467257,66.66666666666666
3,123,2123,340.7215035977616,255.08522727272728,4.501087047413783,116091.14301391949,92.72727272727272,1646.826582541288,1488.8652954101562,16.50022515700986,2712037.7929646173,41.66666666666667
4,123,3123,321.47962192467486,241.73045099431818,4.2677168819868445,103349.14731283188,94.54545454545455,1570.51644649699,1419.1763305664062,15.74872919101337,2466521.908717533,54.166666666666664
5,123,4123,319.2759573993857,235.23002485795453,4.145398113156952,101937.13697329434,94.54545454545455,1693.4325824128844,1535.6268819173176,17.007699474711323,2867713.9111775705,41.66666666666667
6,123,5123,310.27756861937195,237.27075639204546,4.183966437325056,96272.16958834908,94.54545454545455,1621.5735778439923,1464.0254821777344,16.227475018098584,2629500.868361766,45.83333333333333
7,123,6123,327.485402035217,245.46774680397726,4.317205052593142,107246.68854616772,94.54545454545455,1874.0635404345446,1727.1251627604167,19.13418711212566,3512114.15358606,27.083333333333332
8,123,7123,331.5794028435207,247.27042791193182,4.366976108396761,109944.9003900658,92.72727272727272,1614.3862935242985,1456.9943237304688,16.150359457612996,2606243.1047191224,47.91666666666667
9,123,8123,332.35022970208314,247.4200106534091,4.3618994308710555,110456.67518302744,92.72727272727272,1633.1977527288707,1475.1189270019531,16.349334081642887,2667334.8995186337,45.83333333333333
10,123,9123,328.34291933585143,247.57985617897728,4.374643834574198,107809.07267798945,92.72727272727272,1453.5810356048582,1310.2596537272136,14.592469638925396,2112897.8270700923,68.75
