Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,123,123,271.8855438384361,216.21954230542454,3.8298140475425275,73921.74894832216,94.33962264150944,2799.159397360522,2667.0062967936196,29.68376266098008,7835293.331831719,12.5
2,123,1123,271.7465857369961,217.63880085495282,3.8436732444640462,73846.20685971458,94.33962264150944,2920.1533446854364,2787.0704040527344,31.03989386318455,8527295.556477541,12.5
3,123,2123,267.9034308911287,215.7312334168632,3.8277391937803147,71772.24828323779,94.33962264150944,2783.128827591675,2650.2312520345054,29.49066719573231,7745806.070971812,12.5
4,123,3123,275.11129610981294,219.78136055424528,3.8619711388644813,75686.22524722117,96.22641509433963,3007.6860424219794,2873.8180033365884,32.02029026585151,9046175.329779988,12.5
5,123,4123,271.2240455471593,217.0725788620283,3.827402840451005,73562.48288296754,96.22641509433963,2905.2828723933044,2772.081370035807,30.869889768529667,8440668.568621889,12.5
6,123,5123,267.7708181528621,215.60524764150944,3.81532608302673,71701.21105425313,94.33962264150944,2840.67784645836,2707.4288635253906,30.137034784767735,8069450.6273593055,12.5
7,123,6123,269.9664831473549,216.63053692511792,3.8257244774634303,72881.90202295105,94.33962264150944,2893.8054330641644,2760.8870544433594,30.74386005167844,8374109.884431675,12.5
8,123,7123,269.0799547368344,215.88552107900944,3.8353431640086497,72404.02204117685,94.33962264150944,2755.048573316493,2622.8509114583335,29.183306505030913,7590292.641333242,12.5
9,123,8123,270.0730678519793,216.75297575176887,3.825057993432706,72939.46197897983,94.33962264150944,2896.766741258974,2763.249257405599,30.768570023463372,8391257.553264135,12.5
10,123,9123,267.8857140406795,216.01542231721697,3.8136756501006412,71762.7557870847,94.33962264150944,2877.0709720627647,2743.421875,30.543293772708406,8277537.378286183,12.5
