Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,789,789,317.5553019541601,249.34614701704547,4.317518017305956,100841.3697991978,92.72727272727272,3332.6344665904307,3195.6911010742188,35.66361743104218,11106452.487906486,12.5
2,789,1789,311.1939540677122,239.14897904829544,4.143722269013697,96841.67704829737,92.72727272727272,3309.718850842173,3165.207305908203,35.29702029360044,10954238.871620035,12.5
3,789,2789,358.6030030362174,293.95951704545456,5.068373801881281,128596.11378659336,89.0909090909091,3511.8794645863027,3382.6212056477866,37.81091634671959,12333297.373782977,6.25
4,789,3789,318.57792741606113,249.48681640625,4.319814589278894,101491.8958367131,92.72727272727272,3344.4397174753135,3205.010711669922,35.762201107120376,11185277.023826355,12.5
5,789,4789,322.22919517310584,256.1543678977273,4.403294951114793,103831.65422190753,90.9090909090909,3347.964282778241,3224.022430419922,36.029173750944146,11208864.83875882,6.25
6,789,5789,278.0486510794193,217.04448686079544,3.837703334545411,77311.05236708467,96.36363636363636,2971.386993982098,2840.6602884928384,31.65660604079519,8829140.668005968,12.5
7,789,6789,326.95319937979826,267.6834605823864,4.895412968180345,106898.3945846861,87.27272727272727,1651.6857216009498,1507.6578063964844,16.619910894158295,2728065.72294045,31.25
8,789,7789,284.44431919622645,223.16463068181818,4.019667041870808,80908.57072300477,94.54545454545455,2866.874456997854,2737.184366861979,30.487972723812813,8218969.152186741,12.5
9,789,8789,271.52439006465954,214.9699307528409,3.8290184916517216,73725.4943999854,96.36363636363636,2623.767487005189,2493.0142415364585,27.720169934327377,6884155.825865527,16.666666666666664
10,789,9789,320.2342552072244,261.3333806818182,4.570596761774015,102549.97820812571,92.72727272727272,3348.6215363593997,3222.243906656901,35.99949014551851,11213266.193769986,6.25
