Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,456,456,415.97253988814987,344.7816583806818,6.20093733278576,173033.15394099843,89.0909090909091,10616.008411075112,7890.905100504558,88.86781007012316,112699634.58401753,77.08333333333334
2,456,1456,1695.1759543738963,1650.362215909091,28.842279540665388,2873621.51628745,1.8181818181818181,7405.461001206219,7154.294784228007,80.42116296045523,54840852.640386224,8.333333333333332
3,456,2456,414.969870528026,330.2366477272727,5.72001127321941,172199.99344604666,83.63636363636363,5381.7955059748365,5091.589706420898,56.898313514685114,28963722.86813095,22.916666666666664
4,456,3456,771.6623598709303,698.3724564985796,12.12305177761773,595462.7976415731,49.09090909090909,6110.703136492674,5821.833691914876,65.21526986316029,37340692.822341405,16.666666666666664
5,456,4456,600.3830402341963,532.786328125,9.49075803489287,360459.79500085657,70.9090909090909,33891.45745080573,24108.202209472656,271.6180621648874,1148630888.1397748,81.25
6,456,5456,720.0627160223507,660.0246803977273,11.74383052716467,518490.3150054845,43.63636363636363,31984.35244909376,23149.86457316081,260.80879837135876,1022998801.58785,79.16666666666666
7,456,6456,1909.3755413321117,1858.2698020241478,32.487969438428266,3645714.9578372943,0.0,7608.206203002487,7344.15521589915,82.49252372220121,57884801.627405524,8.333333333333332
8,456,7456,307.126014646272,249.39575639204546,4.386201125219595,94326.38887250207,98.18181818181819,1289.4984886212912,965.104990641276,11.031068054885699,1662806.3521565944,89.58333333333334
9,456,8456,478.18046316338,395.24490411931816,6.834008787023841,228656.5553511446,70.9090909090909,5396.451611494929,5120.087725321452,57.26047866054619,29121689.99520622,20.833333333333336
10,456,9456,908.5845531670877,844.222762784091,14.701097099143439,825525.8902538364,34.54545454545455,8189.528494604321,7957.940986792247,89.52687663455585,67068376.96393611,6.25
