Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,1000,1000,335.4633483744302,275.0771484375,4.795573384343274,112535.65810258433,96.22641509433963,3135.8223218518083,3016.755086263021,33.697502047172875,9833381.634224067,6.25
2,1000,2000,345.47628479891586,274.208984375,4.875404667058874,119353.86335846163,94.33962264150944,3082.829221265039,2966.9450887044272,33.14665473304165,9503836.007485608,6.25
3,1000,3000,338.0150087125336,264.6167452830189,4.8005274024674565,114254.14611493416,94.33962264150944,3028.698107447788,2912.5201314290366,32.52690476645834,9173012.226057813,6.25
4,1000,4000,308.0067276903195,244.22430535082546,4.321156369456425,94868.14430249862,94.33962264150944,2964.2818938413684,2839.453196207682,31.665193303566525,8786967.146155769,12.5
5,1000,5000,277.4961673892493,223.00362065153303,3.973059041328539,77004.12291572228,94.33962264150944,2914.5098530055097,2782.955576578776,30.99872318843661,8494367.683266198,12.5
6,1000,6000,312.0062729810704,247.18546395931602,4.469726890268138,97347.91437953823,94.33962264150944,2884.641283117553,2768.153361002604,30.89052519975666,8321155.332266082,10.416666666666668
7,1000,7000,349.7819598323704,283.3148769162736,4.935944494641353,122347.41942417396,94.33962264150944,3189.699540453178,3080.052286783854,34.454707842627855,10174183.158367217,4.166666666666666
8,1000,8000,297.16608041737123,236.32126142393867,4.169843864465753,88307.67935062354,94.33962264150944,3028.2041756858453,2909.1097005208335,32.47567005730767,9170020.52964119,10.416666666666668
9,1000,9000,323.13846244368096,256.60647295106133,4.637465833121694,104418.46591046621,94.33962264150944,2852.8434396098905,2732.5701700846353,30.47226206809302,8138715.690925191,12.5
10,1000,10000,301.52447926269167,238.74592791863208,4.258769510998335,90917.01159463738,94.33962264150944,2838.971817310548,2718.321533203125,30.309270271172466,8059760.979483555,12.5
